[object Object]ROCKDALE Stars Black Limited Edition HSS BK, https://www.muztorg.ru/files/bd9/v4j/u4m/1w0/4o4/k4c/848/4ok/8/bd9v4ju4m1w04o4k4c8484ok8.jpg, 22, 6, H-s-s, на болтах, клён, тополь,
IBANEZ AZES40-MGR, https://www.muztorg.ru/files/ycn/tn6/oab/80c/g0k/8gw/coo/8gs/ycntn6oab80cg0k8gwcoo8gs.jpg, 6, H-s-s, на болтах, клён, тополь, ятоба,
Cort G250-LH-BK G Series, https://www.muztorg.ru/files/3i7/8m5/ivt/i80/s48/0cw/g48/kos/g/3i78m5ivti80s480cwg48kosg.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
Caraya E100BK, https://www.muztorg.ru/files/988/r38/bid/oo4/88g/04c/wws/40c/8/988r38bidoo488g04cwws40c8.jpeg, 21, 6, S, на болтах, клён, клён,
Schecter BANSHEE-6 SGR BLK, https://www.muztorg.ru/files/bmb/6rj/z3j/z4g/gg4/ww8/gc0/c4k/4/bmb6rjz3jz4ggg4ww8gc0c4k4.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
JET JS-400 SFG, https://www.muztorg.ru/files/1jm/cyn/sej/msk/00o/wcg/0kg/ww4/o/1jmcynsejmsk00owcg0kgww4o.jpg, 22, 6, H-s-s, на болтах, клён, липа,
ARIA PRO II J-2 CA, https://www.muztorg.ru/files/aj9/l2d/011/i8k/8wc/04c/g0k/8o8/s/aj9l2d011i8k8wc04cg0k8o8s.jpeg, 24, 6, S-s, на болтах, клён, тополь,
Bosstone TG-03 WH+Bag, https://www.muztorg.ru/files/5fx/4c7/4ml/k4k/gsk/0gs/84s/0o8/s/5fx4c74mlk4kgsk0gs84s0o8s.jpg, 21, 6, S-s, на болтах, клён, платан,
IBANEZ Q52PB-ABS, https://www.muztorg.ru/files/9xd/kqp/8lb/u0o/4ws/0oo/4gg/wwo/9xdkqp8lbu0o4ws0oo4ggwwo0.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
TERRIS TLP-039 LB, https://www.muztorg.ru/files/p13/q61/r5o/m8k/g8c/g8c/sk4/k8g/p13q61r5om8kg8cg8csk4k8g.jpg, 22, 6, H-h, на болтах, клён, липа,
Schecter BANSHEE-6 SGR EB, https://www.muztorg.ru/files/5jf/nds/1zr/cgs/g8k/g0c/c80/s8w/8/5jfnds1zrcgsg8kg0cc80s8w8.png, 24, 6, H-h, на болтах, клён, липа,
Russtone RULP-D BK, https://www.muztorg.ru/files/8mq/jhj/is2/5s8/csc/ko8/48o/8o0/k/8mqjhjis25s8cscko848o8o0k.jpg, 22, 6, H-h, на болтах, клён, тополь,
CORT G200-PPK G Series, https://www.muztorg.ru/files/dl8/kir/ovl/vs4/o88/w0o/k88/wgw/w/dl8kirovlvs4o88w0ok88wgww.jpg, 22, 6, S-s-h, на болтах, клён, тополь,
CORT X500-Menace-GS X Series, https://www.muztorg.ru/files/8e4/brj/hsa/pcs/gso/ksc/8k8/80s/k/8e4brjhsapcsgsoksc8k880sk.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
ARIA PRO II STG-004 3TS, https://www.muztorg.ru/files/579/8wk/lv9/u04/gog/ocw/8o0/sow/o/5798wklv9u04gogocw8o0sowo.jpg, 22, 6, H-h, на болтах, клён, липа,
Schecter SGR C-1 EB, https://www.muztorg.ru/files/a7c/450/iob/aos/o0c/ks0/ss0/owc/c/a7c450iobaoso0cks0ss0owcc.jpeg, 24, 6, на болтах, клён, липа, палисандр,
ARIA PRO II 714-MK2 TQBL, https://www.muztorg.ru/files/8a2/tvg/ozf/zc4/8wo/ow8/4o4/woc/g/8a2tvgozfzc48woow84o4wocg.jpeg, 22, 6, H-s-s, на болтах, клён, тополь,
IBANEZ AF95-BS, https://www.muztorg.ru/files/ebw/wh7/5kx/c84/scc/c4o/wcc/ksg/8/ebwwh75kxc84sccc4owccksg8.jpg, 20, 6, H-h, вклеенный, липа, чёрное дерево,
STAGG SEL-STD GOLD, https://www.muztorg.ru/files/26z/2co/z9z/yzo/ock/cks/s44/gcw/8/26z2coz9zyzoockckss44gcw8.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
Bosstone TG-03 BK+Bag, https://www.muztorg.ru/files/cqx/t8j/ray/aok/k8s/oog/880/oc0/s/cqxt8jrayaokk8soog880oc0s.jpg, 21, 6, S-s, на болтах, клён, платан,
[object Object]STAGG SET-PLUS BK, https://www.muztorg.ru/files/a3c/vzi/o4u/m0w/gsc/wk0/sgg/sog/k/a3cvzio4um0wgscwk0sggsogk.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
ARIA PRO II J-2 BK, https://www.muztorg.ru/files/9zo/9hb/thv/jsw/o0g/kks/488/cok/s/9zo9hbthvjswo0gkks488coks.jpeg, 24, 6, S-s, на болтах, клён, тополь,
ARIA PRO II PE-350CST AGBK, https://www.muztorg.ru/files/y0h/bs4/m12/m80/cg4/w0o/kwg/o44/y0hbs4m12m80cg4w0okwgo44.jpg, 22, 6, H-h, на болтах, окуме, липа,
Bosstone SG-04HH BL+Bag, https://www.muztorg.ru/files/xoa/whu/6m2/7ko/0ck/csk/444/4cw/xoawhu6m27ko0ckcsk4444cw.jpg, 22, 6, H-h, на болтах, клён, платан,
Schecter SGR 006 M RED, https://www.muztorg.ru/files/4qd/9t3/63f/im8/gkc/owo/0ow/kkg/g/4qd9t363fim8gkcowo0owkkgg.jpeg, 22, 6, H-h, на болтах, клён, липа,
SCHECTER SGR C-1 MSBK, https://www.muztorg.ru/files/7oc/q8i/mdh/50k/s4w/088/wgs/w0s/7ocq8imdh50ks4w088wgsw0s.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
STAGG SES-30 CAR, https://www.muztorg.ru/files/3iw/b1p/vqo/yqs/4os/ocw/gg4/o0k/s/3iwb1pvqoyqs4osocwgg4o0ks.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
FARIDA F-5020 Metallic Blue, https://www.muztorg.ru/files/21v/i54/95z/400/0sk/g04/8sk/o08/c/21vi5495z4000skg048sko08c.jpg, 22, 6, H-s-s, на болтах, клён, ольха,
Bosstone SR-06 MBL+Bag, https://www.muztorg.ru/files/296/4i5/9cg/qqs/cc8/swk/00w/8w0/s/2964i59cgqqscc8swk00w8w0s.jpg, 24, 6, H-s-s, на болтах, клён, липа,
Fernandes LE-1Z BLK/L электрогитара Stratocaster HSS, цвет - чёрный, https://www.muztorg.ru/files/7a7/asj/jj9/r0g/00c/og0/ocg/0oc/w/7a7asjjj9r0g00cog0ocg0ocw.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
TERRIS TST-39 LB, https://www.muztorg.ru/files/2pb/b2y/vyo/78k/s44/0oc/wgs/w04/c/2pbb2yvyo78ks440ocwgsw04c.jpg, 22, 6, S-s-s, на болтах, клён, липа,
JACKSON JS22 Monarkh SC Satin Black, https://www.muztorg.ru/files/dqv/6g9/jf3/kg8/cw8/gks/w0g/kw8/s/dqv6g9jf3kg8cw8gksw0gkw8s.jpg, 6, на болтах, клён, нато, амарант, правосторонняя,
IBANEZ RGMS8-BK, https://www.muztorg.ru/files/dbh/fc8/nu4/jk0/wsw/ocs/sc8/w4k/dbhfc8nu4jk0wswocssc8w4k0.jpg, 8, красное дерево, ятоба, правосторонняя, Superstrat, 25.5,
IBANEZ AS73G-PBM, https://www.muztorg.ru/files/7i3/kdo/ffq/0co/gs0/k4o/ssc/w4w/w/7i3kdoffq0cogs0k4osscw4ww.jpg, 6, вклеенный, ньятон, липа, орех, липа,
IBANEZ AS53-TKF, https://www.muztorg.ru/files/4c3/p8m/hr0/lmo/sgo/s4c/4sg/sck/4c3p8mhr0lmosgos4c4sgsck0.jpg, 22, 6, H-h, вклеенный, красное дерево, сапеле,
JACKSON JS11 Dinky DK Snow White, https://www.muztorg.ru/files/18a/s2v/dbi/o4g/os0/skg/0ko/w4w/18as2vdbio4gos0skg0kow4w0.jpg, 6, на болтах, клён, тополь, амарант, правосторонняя,
AM53-TF, https://www.muztorg.ru/files/6ru/xeh/ohj/m04/ggk/8o0/cc8/cw4/4/6ruxehohjm04ggk8o0cc8cw44.jpg, 22, 6, H-h, вклеенный, ньятон, сапеле,
Cort CR250-ATA Classic Rock, https://www.muztorg.ru/files/996/ne0/72f/ksg/c00/o84/0o4/g4w/k/996ne072fksgc00o840o4g4wk.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
PEAVEY Raptor Custom BLK, https://www.muztorg.ru/files/35t/u4f/m8o/les/www/cc0/40k/0c4/w/35tu4fm8oleswwwcc040k0c4w.jpg, 22, 6, S-s-s, на болтах, клён, липа,
ARIA PRO II J-TL SVW, https://www.muztorg.ru/files/3w8/3g1/o5s/xgk/c8c/og0/ooo/804/c/3w83g1o5sxgkc8cog0ooo804c.jpg, 24, 6, S-s, на болтах, клён, тополь,
Cort X500-Menace-BKS X Series, https://www.muztorg.ru/files/5n2/bqd/616/m0w/4o4/cwo/osg/0k0/5n2bqd616m0w4o4cwoosg0k00.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
TERRIS TST-39 RD, https://www.muztorg.ru/files/3dl/91r/1bh/hk4/0g8/o4k/0kg/44g/c/3dl91r1bhhk40g8o4k0kg44gc.jpeg, 22, 6, S-s-s, на болтах, липа, липа,
Cort G290-FAT-AVB G Series, https://www.muztorg.ru/files/bwr/rj9/z5h/rco/w8s/48s/4k8/8wk/8/bwrrj9z5hrcow8s48s4k88wk8.jpeg, 22, 6, H-h, на болтах, клён, ясень,
S by Solar AB4.6W электрогитара, цвет белый, https://www.muztorg.ru/files/7ie/ois/orj/yko/scg/g08/8ws/4g8/7ieoisorjykoscgg088ws4g8.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
FARIDA F-5050 White, https://www.muztorg.ru/files/elg/czf/uvb/t44/gs8/kkk/4g8/gss/s/elgczfuvbt44gs8kkk4g8gsss.jpg, 22, 6, S-s-s, на болтах, клён, ольха,
Schecter SGR C-1 WSN, https://www.muztorg.ru/files/cqw/ii0/5fv/t44/0sc/84g/swg/08o/w/cqwii05fvt440sc84gswg08ow.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
JET JS-500 SLS, https://www.muztorg.ru/files/2qd/jys/pbe/7ok/c80/w88/o0c/4kc/2qdjyspbe7okc80w88o0c4kc0.jpg, 24, 6, H-h, на болтах, клён, липа,
Cort Sunset-Nylectric-NAT Sunset Series, https://www.muztorg.ru/files/cx8/cjq/r6e/xkc/oo0/44w/kgs/w40/w/cx8cjqr6exkcoo044wkgsw40w.jpg, 22, 6, пьезо, на болтах, красное дерево, красное дерево,
FENDER SQUIER Affinity 2021 Stratocaster LRL 3-Color Sunburst, https://www.muztorg.ru/files/9w6/2hx/msb/w8w/sws/so8/wos/cow/g/9w62hxmsbw8wswsso8woscowg.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
JET JS-500 BLS, https://www.muztorg.ru/files/ei1/ve8/2j4/xcs/co4/o0g/og8/skw/o/ei1ve82j4xcsco4o0gog8skwo.jpeg, 24, 6, H-h, на болтах, клён, липа,
FARIDA F-5051 Black, https://www.muztorg.ru/files/7v3/wck/eum/oco/oks/0o4/c4k/sc8/7v3wckeumocooks0o4c4ksc80.jpg, 22, 6, S-s-h, на болтах, клён, ольха,
ARIA PRO II PE-590STD AGCS, https://www.muztorg.ru/files/4yz/mfy/6wk/m80/ckg/c0c/c8g/cwo/o/4yzmfy6wkm80ckgc0cc8gcwoo.jpg, 22, 6, H-h, вклеенный, окуме, окуме,
ARIA PRO II TEG-TL MIB, https://www.muztorg.ru/files/dhl/bpk/9jn/go4/o0c/40c/ocw/gcc/dhlbpk9jngo4o0c40cocwgcc.jpg, 22, 6, S-s, на болтах, клён, окуме,
[object Object]Fernandes RXX06 SW, https://www.muztorg.ru/files/du0/qcu/xxx/woo/kgo/ows/co4/wkg/g/du0qcuxxxwookgoowsco4wkgg.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
JET JS-600 BS, https://www.muztorg.ru/files/bdc/qb9/9lb/n4s/oos/gcg/kwg/448/8/bdcqb99lbn4soosgcgkwg4488.jpeg, 22, 6, H-s-s, на болтах, клён, клён,
JACKSON JS32 Dinky DKA Satin Black, https://www.muztorg.ru/files/b6d/sh3/qry/y0o/scc/s0k/0wc/s4c/g/b6dsh3qryy0osccs0k0wcs4cg.jpg, 6, на болтах, клён, тополь, амарант, правосторонняя,
ROCKDALE Stars Plus SSS Maple Black, https://www.muztorg.ru/files/h6j/fv7/ghd/340/40k/0gw/4ww/gg4/h6jfv7ghd34040k0gw4wwgg4.jpg, 22, 6, S-s-s, на болтах, клён, тополь,
IBANEZ AM53-SRF, https://www.muztorg.ru/files/a9f/2er/gon/9k4/0c8/gww/oog/cko/a9f2ergon9k40c8gwwoogcko0.jpg, 6, вклеенный, красное дерево, сапеле, палисандр, сапеле,
Schecter SGR S-1 MSBK, https://www.muztorg.ru/files/e4s/1qu/jnv/m04/sog/8w0/w80/8so/c/e4s1qujnvm04sog8w0w808soc.jpeg, 24, 6, H-h, на болтах, клён, липа,
STAGG SES-30 SNB, https://www.muztorg.ru/files/c3t/5my/xso/9w0/o88/0gs/4s4/ocs/4/c3t5myxso9w0o880gs4s4ocs4.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
ROCKDALE Stars Plus SSS Black, https://www.muztorg.ru/files/bez/5rx/049/x4w/ss4/kck/k04/c8w/k/bez5rx049x4wss4kckk04c8wk.jpg, 22, 6, S-s-s, на болтах, клён, тополь,
ARIA STG-57 2TS, https://www.muztorg.ru/files/9bb/xgj/mpp/ow8/o48/0wc/g8g/0kw/c/9bbxgjmppow8o480wcg8g0kwc.jpg, 22, 6, S-s-s, на болтах, клён, ольха,
IBANEZ AMH90-BK, https://www.muztorg.ru/files/2tk/sbl/brl/auc/k88/k0w/c8s/84k/2tksblbrlauck88k0wc8s84k0.jpg, 22, 6, H-h, вклеенный, клён, липа,
EART NK-C3 Trans Blue, https://www.muztorg.ru/files/1nq/xdy/5zy/bes/gkg/wkk/oo8/44k/1nqxdy5zybesgkgwkkoo844k0.jpg, 22, 6, H-s-s, на болтах, клён, красное дерево,
IBANEZ AF95-DA, https://www.muztorg.ru/files/4zy/vsc/5r6/7go/wo8/8ks/8oo/8o4/s/4zyvsc5r67gowo88ks8oo8o4s.jpg, 20, 6, H-h, вклеенный, липа, чёрное дерево,
Fernandes LE-1Z 3SB/ L, https://www.muztorg.ru/files/art/k1t/5jw/000/g84/484/40s/sgo/s/artk1t5jw000g8448440ssgos.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
Fabio ST200 BLS (Н/S/S), https://www.muztorg.ru/files/cv6/er5/2i4/s0s/kcc/8w4/08g/4gg/cv6er52i4s0skcc8w408g4gg0.jpg, 22, 6, H-s-s, на болтах, клён, ольха,
CORT MBM-2P-SS META Series, https://www.muztorg.ru/files/10n/rln/lqc/wtc/g0o/gwg/4gw/ock/8/10nrlnlqcwtcg0ogwg4gwock8.jpg, 22, 6, на болтах, клён, липа, лавр,
G&L Tribute ASAT Classic Tobacco Sunburst MP, https://www.muztorg.ru/files/9og/qjz/9ee/gw0/gs8/cc4/cw8/os8/w/9ogqjz9eegw0gs8cc4cw8os8w.png, undefined, undefined, undefined, undefined, undefined, undefined,
S by Solar AB4.61MC мини-электрогитара, 22,5", цвет черный, https://www.muztorg.ru/files/5zi/6bq/yyq/w00/oww/sog/4ss/s4c/g/5zi6bqyyqw00owwsog4sss4cg.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
S by Solar TB4.61C электрогитара, форма Telecaster, цвет черный, https://www.muztorg.ru/files/5ls/sah/cl5/9s8/c0k/0ok/cs8/g8c/s/5lssahcl59s8c0k0okcs8g8cs.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
STAGG SES-55 STF RED, https://www.muztorg.ru/files/bme/161/a43/rc4/kg0/k8c/skc/0g4/o/bme161a43rc4kg0k8cskc0g4o.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
Fernandes LE-1Z 3S 3SB/L, https://www.muztorg.ru/files/5wb/xuz/8r5/w4c/kw0/wo8/k0k/sg4/5wbxuz8r5w4ckw0wo8k0ksg40.jpeg, 6, S-s-s, на болтах, клён, ольха, палисандр,
STAGG SEL-STD VSB, https://www.muztorg.ru/files/868/q34/3he/k0s/4sg/c00/owo/w8w/o/868q343hek0s4sgc00owow8wo.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
ARIA PRO II STG-003 CA, https://www.muztorg.ru/files/bh0/2fr/sip/0gg/008/48s/w48/ssg/c/bh02frsip0gg00848sw48ssgc.jpg, 22, 6, S-s-s, на болтах, клён, ольха,
ARIA PRO II TEG-TL TTWH, https://www.muztorg.ru/files/94e/lys/rhe/y8s/4g8/sko/s0g/oso/k/94elysrhey8s4g8skos0gosok.jpg, 22, 6, S-s, на болтах, клён, окуме,
Schecter SGR S-1 M RED, https://www.muztorg.ru/files/7o8/4mt/4ct/9ss/g4w/4os/c0o/o04/c/7o84mt4ct9ssg4w4osc0oo04c.jpeg, 24, 6, H-h, на болтах, клён, липа,
CORT G250-Spectrum-MPU G Series, https://www.muztorg.ru/files/8i6/ai4/0el/s00/gs4/8wk/s84/s4w/8i6ai40els00gs48wks84s4w0.jpg, 22, 6, H-h, на болтах, клён, липа,
IBANEZ GRX120SP-MLM, https://www.muztorg.ru/files/er7/440/zlk/a8s/448/88s/4g0/c44/c/er7440zlka8s44888s4g0c44c.jpg, 6, H-h, на болтах, клён, тополь, ятоба,
ARIA PRO II 714-STD 3TS, https://www.muztorg.ru/files/2ff/rue/mm0/074/gs0/0ow/gcs/wkk/s/2ffruemm0074gs00owgcswkks.jpg, 22, 6, H-s-s, на болтах, клён, липа,
ZOMBIE EDG - 46 / BK, https://www.muztorg.ru/files/6v8/rux/hmd/3go/s0s/kkg/44c/gg8/c/6v8ruxhmd3gos0skkg44cgg8c.jpg, 6, на болтах, клён, орех, палисандр, правосторонняя,
AS73G-BKF, https://www.muztorg.ru/files/sxq/3cg/ewa/9cs/ckg/kkk/o0g/0s0/sxq3cgewa9csckgkkko0g0s0.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
ASHTONE ST - 200 / BK, https://www.muztorg.ru/files/eka/h5k/a10/i88/ckc/wc4/csw/gww/w/ekah5ka10i88ckcwc4cswgwww.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
S by Solar VB4.6C электрогитара с чехлом, форма V, цвет черный, https://www.muztorg.ru/files/7h1/20q/sye/5k4/cgo/0kw/csk/4ck/k/7h120qsye5k4cgo0kwcsk4ckk.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
ARIA PRO II 615-MK2 RBRD, https://www.muztorg.ru/files/dr3/kmr/aho/js4/ocs/kwk/88c/0c4/4/dr3kmrahojs4ocskwk88c0c44.jpg, 22, 6, S-s-s, на болтах, клён, тополь,
Bosstone SG-04HH 3TS+Bag, https://www.muztorg.ru/files/2z3/le4/x34/lic/og0/0ck/4wc/owk/g/2z3le4x34licog00ck4wcowkg.jpg, 22, 6, H-h, на болтах, клён, платан,
[object Object]TERRIS TTL-039 WH, https://www.muztorg.ru/files/bvg/t7b/dqn/88c/gw0/04g/sgw/404/c/bvgt7bdqn88cgw004gsgw404c.jpg, 22, 6, S-s, на болтах, клён, липа,
CORT MBM-2H-Sustainiac-BBE META Series, https://www.muztorg.ru/files/2jd/oga/yah/dk4/ocw/0c0/8ws/o0c/s/2jdogayahdk4ocw0c08wso0cs.jpg, 22, 6, H, на болтах, клён, липа,
CORT G280-Select-TCP G Series, https://www.muztorg.ru/files/c32/vyz/4mb/mgc/s0w/084/0c0/w8w/c32vyz4mbmgcs0w0840c0w8w.jpg, 22, 6, H-s-s, на болтах, клён, ольха,
MOOER GTRS S801 Gold, https://www.muztorg.ru/files/bt7/u6k/8ks/rcc/cck/so8/ws0/scg/g/bt7u6k8ksrcccckso8ws0scgg.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
ARIA PRO II 714-MK2 BKDM, https://www.muztorg.ru/files/ab1/5wq/xxz/z4k/4g4/skw/skg/c8c/g/ab15wqxxzz4k4g4skwskgc8cg.jpg, 22, 6, H-s-s, на болтах, клён, тополь,
ARIA TEG-TL N, https://www.muztorg.ru/files/eig/1gn/wva/xkc/gg8/c0w/ssw/0ws/o/eig1gnwvaxkcgg8c0wssw0wso.jpeg, 22, 6, S-s, на болтах, клён, окуме,
Fabio LP02 SB, https://www.muztorg.ru/files/ao3/mcf/xfj/bc4/ock/8wg/8ok/cgo/8/ao3mcfxfjbc4ock8wg8okcgo8.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
G&L Tribute Legacy Black MP Poplar, https://www.muztorg.ru/files/f46/jj3/t8b/y80/w0c/04c/40k/8wg/s/f46jj3t8by80w0c04c40k8wgs.jpg, 22, 6, S-s-s, на болтах, клён, тополь,
PEAVEY Raptor Plus SSS SNB, https://www.muztorg.ru/files/sb0/zfr/9vn/qos/ogo/00w/gs0/o4k/sb0zfr9vnqosogo00wgs0o4k.jpeg, 22, 6, S-s-h, на болтах, клён, палисандр,
STERLING Cutlass Vintage Cream, https://www.muztorg.ru/files/843/4z5/kl9/k84/80k/ggo/c08/w8w/s/8434z5kl9k8480kggoc08w8ws.jpg, 22, 6, S-s-h, на болтах, клён, тополь,
ARIA PRO II PE-350STD AGBS, https://www.muztorg.ru/files/a4g/s8k/cz9/48o/k84/wcg/4go/ccs/4/a4gs8kcz948ok84wcg4goccs4.jpg, 22, 6, H-h, вклеенный, окуме, липа,
FENDER SQUIER Classic Vibe 70s Stratocaster HSS MN Black, https://www.muztorg.ru/files/3ew/j16/jv8/beo/o4c/gkc/w04/wgk/g/3ewj16jv8beoo4cgkcw04wgkg.jpg, 6, H-s-s, клён, тополь, клён, правосторонняя,
AS73-TCD, https://www.muztorg.ru/files/14r/wts/eh7/log/8sg/g48/wwo/cko/14rwtseh7log8sgg48wwocko0.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
MOOER GTRS P801 Blue, https://www.muztorg.ru/files/7i0/2yk/9ji/3ok/wo8/0gw/wcs/08k/7i02yk9ji3okwo80gwwcs08k0.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
STAGG SES-55 SNB, https://www.muztorg.ru/files/933/llc/f8s/9wk/cg8/4w4/wcs/0kg/4/933llcf8s9wkcg84w4wcs0kg4.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
RGD7521PB-DSF, https://www.muztorg.ru/files/bxj/3wv/fe0/kgg/ksk/wks/g0k/cw8/g/bxj3wvfe0kggkskwksg0kcw8g.jpg, 7, на болтах, клён, ньятон, ятоба, тополь,
S by Solar AB4.6С электрогитара, цвет черный, https://www.muztorg.ru/files/cyn/94r/tqi/hw0/844/40k/ogs/g8k/cyn94rtqihw084440kogsg8k.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
MOOER GTRS S800 Gold, https://www.muztorg.ru/files/4n8/5lh/0nh/j0g/coo/wks/woc/kgg/c/4n85lh0nhj0gcoowkswockggc.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
MOOER GTRS S800 White, https://www.muztorg.ru/files/cx7/8p7/agi/lss/g48/0kk/cwg/800/c/cx78p7agilssg480kkcwg800c.jpg, 22, 6, H-s-s, на болтах, клён, липа,
ARIA PRO II STG-004 CA, https://www.muztorg.ru/files/2cc/cd2/3w5/ku8/ook/kk8/o0s/8os/8/2cccd23w5ku8ookkk8o0s8os8.jpeg, 22, 6, H-s-s, на болтах, клён, липа,
MOOER GTRS P800 Dark Night, https://www.muztorg.ru/files/dfj/lxg/4kt/bco/ock/wkc/808/ocs/o/dfjlxg4ktbcoockwkc808ocso.jpg, 22, 6, H-s-s, на болтах, клён, ольха,
ARIA PRO II 615-MK2 TQBL, https://www.muztorg.ru/files/8d8/xjp/1sn/w0s/44g/8o4/4cw/sk8/8/8d8xjp1snw0s44g8o44cwsk88.jpg, 22, 6, S-s-s, на болтах, клён, тополь,
MOOER GTRS S801 White, https://www.muztorg.ru/files/7ns/gxv/7bz/sg8/c4s/004/cw0/w8g/w/7nsgxv7bzsg8c4s004cw0w8gw.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
ARIA PE-590STD AGCS, https://www.muztorg.ru/files/aub/ylt/077/ls0/koc/ss8/8w8/gw4/w/aubylt077ls0kocss88w8gw4w.jpg, 22, 6, H-h, вклеенный, окуме, окуме,
